normDen|7,12:30,13:00,15,7.5,0,0,0,0,0,0,0,0
Odd_norm|7,12:30,13:00,19,11.5,5,0,0,5,0,7,0,0
Odd1_vik|7,12:30,13:30,19,11.5,5,16.5,0,0,5,0,7,0,0
Odd2_8h|7,12:30,13:30,15,7.5,5,7.5,0,0,0,0,0,0,0
OupA12_vik|8,12:30,13:00,20,11.5,0,11.5,0,0,0,0,0,0,0
OupA_normden|7,12:30,13:00,19,11.5,0,0,0,0,0,0	,0,0
OupB_normden|16.30,23:30,00:00,7,15.5,0,0,0,5,0,7,0,0
OupB_normden_po|0,0,0,7,0,0,0,0,0,0,0,0,0
OupB1_vik|20.00,23:30,00:00,8,11.5,0,0,0,5,0,7,0,0
OupB1_vik_po|0,0,0,8,0,0,0,0,0,0,0,0,0
Expe_normden|15,23:30,00:00,0,15.5,0,0,0,5,0,7,0,0
Expe_normden_po|0,0,0,7,0,0,0,0,0,0,0,0,0
Expe_vik|8,12:30,13:00,19,11.5,0,11.5,11.5,0,5,0,7,0,0
ExDay|0,0,0,0,0,0,0,0,0,0,0,0,0
